[1-0]R=927994; MaxAge=962; Cached=1, Rsp=0.000159;(0.000000)(0.000000)(0.000000)(0.000157)
[1-0]R=927994; MaxAge=962; Cached=1, Rsp=0.000138;(0.000000)(0.000000)(0.000000)(0.000136)
[1-0]R=927994; MaxAge=962; Cached=0, Rsp=0.026178;(0.012242)(0.005124)(0.008207)(0.000605)
[1-0]R=927996; MaxAge=947; Cached=1, Rsp=0.000162;(0.000000)(0.000000)(0.000000)(0.000160)
[1-0]R=927996; MaxAge=947; Cached=1, Rsp=0.000132;(0.000000)(0.000000)(0.000000)(0.000130)
[1-0]R=927996; MaxAge=947; Cached=1, Rsp=0.000431;(0.000000)(0.000000)(0.000000)(0.000429)
[1-0]R=927996; MaxAge=947; Cached=1, Rsp=0.000467;(0.000000)(0.000000)(0.000000)(0.000466)
[1-0]R=927996; MaxAge=947; Cached=1, Rsp=0.000793;(0.000000)(0.000000)(0.000000)(0.000791)
[1-0]R=927996; MaxAge=947; Cached=0, Rsp=0.026796;(0.012239)(0.005103)(0.008206)(0.001248)
[1-0]R=927996; MaxAge=947; Cached=1, Rsp=0.000644;(0.000000)(0.000000)(0.000000)(0.000642)
[1-0]R=927998; MaxAge=932; Cached=0, Rsp=0.025807;(0.012237)(0.005121)(0.008172)(0.000277)
[1-0]R=927999; MaxAge=967; Cached=0, Rsp=0.025807;(0.012218)(0.005122)(0.008207)(0.000260)
[1-0]R=927999; MaxAge=967; Cached=1, Rsp=0.000142;(0.000000)(0.000000)(0.000000)(0.000140)
[1-0]R=927999; MaxAge=967; Cached=1, Rsp=0.000375;(0.000000)(0.000000)(0.000000)(0.000373)
[1-0]R=927999; MaxAge=967; Cached=1, Rsp=0.000609;(0.000000)(0.000000)(0.000000)(0.000607)
[1-0]R=928000; MaxAge=947; Cached=1, Rsp=0.000150;(0.000000)(0.000000)(0.000000)(0.000148)
[1-0]R=928000; MaxAge=947; Cached=1, Rsp=0.000406;(0.000000)(0.000000)(0.000000)(0.000404)
[1-0]R=928002; MaxAge=932; Cached=1, Rsp=0.000165;(0.000000)(0.000000)(0.000000)(0.000163)
[1-0]R=928002; MaxAge=932; Cached=1, Rsp=0.000239;(0.000000)(0.000000)(0.000000)(0.000238)
[1-0]R=928002; MaxAge=932; Cached=0, Rsp=0.026280;(0.012239)(0.005121)(0.008209)(0.000711)
[1-0]R=928002; MaxAge=932; Cached=1, Rsp=0.000315;(0.000000)(0.000000)(0.000000)(0.000313)
[1-0]R=928004; MaxAge=973; Cached=1, Rsp=0.000161;(0.000000)(0.000000)(0.000000)(0.000160)
