[9917-171]R=966900; MaxAge=7; Rsp=0.000131;(0.000000)(0.000000)(0.000000)(901.001519)
[9917-172]R=966903; MaxAge=980; Rsp=0.027086;(0.012850)(0.005026)(0.009095)(0.000115)
[9917-173]R=966905; MaxAge=979; Rsp=0.028030;(0.012825)(0.006047)(0.009036)(0.000122)
[9917-174]R=966906; MaxAge=6; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(907.002754)
[9917-175]R=966909; MaxAge=977; Rsp=0.027960;(0.012757)(0.006033)(0.009049)(0.000121)
[9917-176]R=966911; MaxAge=976; Rsp=0.027059;(0.012867)(0.005202)(0.008878)(0.000112)
[9917-177]R=966912; MaxAge=3; Rsp=0.000129;(0.000000)(0.000000)(0.000000)(913.006091)
[9917-178]R=966915; MaxAge=975; Rsp=0.028057;(0.012864)(0.005998)(0.009081)(0.000114)
[9917-179]R=966917; MaxAge=975; Rsp=0.028117;(0.012859)(0.006008)(0.009121)(0.000129)
[9917-180]R=966918; MaxAge=2; Rsp=0.000127;(0.000000)(0.000000)(0.000000)(919.006341)
[9917-181]R=966921; MaxAge=973; Rsp=0.027100;(0.012889)(0.005963)(0.008124)(0.000124)
[9917-182]R=966923; MaxAge=972; Rsp=0.028064;(0.012912)(0.005965)(0.009073)(0.000114)
[9917-183]R=966925; MaxAge=971; Rsp=0.028030;(0.012877)(0.005991)(0.009040)(0.000122)
[9917-184]R=966927; MaxAge=970; Rsp=0.028132;(0.012874)(0.005987)(0.009130)(0.000141)
[9917-185]R=966929; MaxAge=970; Rsp=0.027072;(0.012438)(0.005431)(0.009084)(0.000119)
[9917-186]R=966931; MaxAge=968; Rsp=0.027359;(0.012867)(0.006019)(0.008357)(0.000116)
[9917-187]R=966933; MaxAge=968; Rsp=0.027945;(0.012804)(0.006014)(0.009039)(0.000088)
[9917-188]R=966935; MaxAge=969; Rsp=0.027095;(0.012846)(0.005029)(0.009100)(0.000120)
[9917-189]R=966937; MaxAge=967; Rsp=0.028077;(0.012878)(0.005987)(0.009095)(0.000117)
[9917-190]R=966939; MaxAge=966; Rsp=0.028058;(0.012877)(0.005971)(0.009091)(0.000119)
[9917-191]R=966941; MaxAge=966; Rsp=0.027089;(0.012888)(0.005026)(0.009064)(0.000111)
[9917-192]R=966943; MaxAge=964; Rsp=0.028066;(0.012851)(0.006016)(0.009112)(0.000087)
[9917-193]R=966945; MaxAge=963; Rsp=0.028033;(0.012842)(0.005999)(0.009079)(0.000113)
[9917-194]R=966947; MaxAge=962; Rsp=0.028080;(0.012918)(0.005956)(0.009087)(0.000119)
[9917-195]R=966949; MaxAge=961; Rsp=0.028033;(0.012871)(0.005989)(0.009060)(0.000113)
[9917-196]R=966951; MaxAge=962; Rsp=0.027055;(0.012859)(0.005120)(0.008962)(0.000114)
[9917-197]R=966953; MaxAge=961; Rsp=0.028067;(0.012837)(0.005982)(0.009116)(0.000132)
[9917-198]R=966955; MaxAge=961; Rsp=0.028054;(0.012867)(0.005994)(0.009081)(0.000112)
[9917-199]R=966957; MaxAge=961; Rsp=0.027034;(0.012819)(0.005028)(0.009071)(0.000116)
[9917-200]R=966959; MaxAge=960; Rsp=0.028061;(0.012847)(0.005984)(0.009105)(0.000125)
[9917-201]R=966961; MaxAge=958; Rsp=0.028043;(0.012853)(0.006017)(0.009059)(0.000114)
[9917-202]R=966963; MaxAge=959; Rsp=0.027058;(0.012824)(0.005040)(0.009063)(0.000131)
[9917-203]R=966965; MaxAge=958; Rsp=0.028078;(0.012906)(0.005969)(0.009070)(0.000133)
[9917-204]R=966967; MaxAge=958; Rsp=0.028051;(0.012973)(0.005875)(0.009090)(0.000113)
[9917-205]R=966969; MaxAge=957; Rsp=0.028079;(0.012864)(0.005989)(0.009100)(0.000126)
[9917-206]R=966971; MaxAge=956; Rsp=0.028142;(0.012919)(0.005972)(0.009145)(0.000106)
[9917-207]R=966973; MaxAge=956; Rsp=0.028091;(0.012871)(0.006005)(0.009098)(0.000117)
[9917-208]R=966975; MaxAge=956; Rsp=0.026934;(0.012781)(0.005070)(0.008994)(0.000089)
[9917-209]R=966977; MaxAge=954; Rsp=0.028032;(0.012839)(0.006005)(0.009074)(0.000114)
[9917-210]R=966979; MaxAge=954; Rsp=0.028119;(0.012832)(0.006041)(0.009118)(0.000128)
[9917-211]R=966981; MaxAge=955; Rsp=0.027058;(0.012847)(0.005023)(0.009076)(0.000112)
[9917-212]R=966983; MaxAge=952; Rsp=0.027029;(0.012832)(0.005983)(0.008097)(0.000117)
[9917-213]R=966985; MaxAge=952; Rsp=0.028087;(0.012871)(0.006006)(0.009098)(0.000112)
[9917-214]R=966987; MaxAge=951; Rsp=0.028058;(0.012855)(0.005993)(0.009095)(0.000115)
[9917-215]R=966989; MaxAge=951; Rsp=0.028038;(0.012843)(0.006006)(0.009066)(0.000123)
[9917-216]R=966991; MaxAge=950; Rsp=0.028041;(0.012858)(0.006023)(0.009077)(0.000083)
[9917-217]R=966993; MaxAge=949; Rsp=0.028044;(0.012864)(0.005993)(0.009068)(0.000119)
[9917-218]R=966995; MaxAge=949; Rsp=0.028168;(0.012858)(0.006005)(0.009188)(0.000117)
[9917-219]R=966997; MaxAge=949; Rsp=0.028119;(0.012886)(0.006007)(0.009106)(0.000120)
[9917-220]R=966999; MaxAge=949; Rsp=0.028047;(0.012848)(0.006000)(0.009086)(0.000113)
[9917-221]R=967001; MaxAge=950; Rsp=0.027049;(0.012859)(0.005025)(0.009051)(0.000114)
[9917-222]R=967003; MaxAge=948; Rsp=0.028071;(0.012859)(0.006006)(0.009091)(0.000115)
[9917-223]R=967005; MaxAge=947; Rsp=0.027103;(0.012874)(0.005985)(0.008123)(0.000121)
[9917-224]R=967007; MaxAge=947; Rsp=0.028033;(0.012865)(0.005978)(0.009076)(0.000114)
[9917-225]R=967009; MaxAge=947; Rsp=0.028118;(0.012909)(0.006005)(0.009075)(0.000129)
